variant_id,pattern_id,category,difficulty,speedup_clang_O3,min_speedup_across_regimes,resistant
IS-2_v003,IS-2,Input-Sensitive Inefficiency,medium,3.01,3.01,True
IS-2_v004,IS-2,Input-Sensitive Inefficiency,medium,2.45,2.45,True
IS-2_v006,IS-2,Input-Sensitive Inefficiency,medium,1.28,1.28,False
IS-2_v005,IS-2,Input-Sensitive Inefficiency,medium,1.22,1.22,False
IS-2_v007,IS-2,Input-Sensitive Inefficiency,medium,2.88,2.88,True
IS-2_v008,IS-2,Input-Sensitive Inefficiency,medium,1.29,1.29,False
IS-2_v009,IS-2,Input-Sensitive Inefficiency,medium,3.52,3.52,True
IS-2_v010,IS-2,Input-Sensitive Inefficiency,medium,1.23,1.23,False
IS-2_v011,IS-2,Input-Sensitive Inefficiency,medium,1.19,1.19,False
IS-2_v012,IS-2,Input-Sensitive Inefficiency,medium,2.2,2.2,True
IS-2_v013,IS-2,Input-Sensitive Inefficiency,medium,1.31,1.31,False
IS-2_v014,IS-2,Input-Sensitive Inefficiency,medium,3.19,3.19,True
IS-3_v000,IS-3,Input-Sensitive Inefficiency,hard,1042.15,1042.15,True
IS-3_v001,IS-3,Input-Sensitive Inefficiency,hard,1111.5,1111.5,True
IS-3_v002,IS-3,Input-Sensitive Inefficiency,hard,500.35,500.35,True
IS-3_v003,IS-3,Input-Sensitive Inefficiency,hard,238.45,238.45,True
IS-3_v004,IS-3,Input-Sensitive Inefficiency,hard,173.35,173.35,True
IS-3_v005,IS-3,Input-Sensitive Inefficiency,hard,489.8,489.8,True
IS-3_v006,IS-3,Input-Sensitive Inefficiency,hard,502.2,502.2,True
IS-3_v007,IS-3,Input-Sensitive Inefficiency,hard,986.3,986.3,True
IS-3_v008,IS-3,Input-Sensitive Inefficiency,hard,77.2,77.2,True
IS-3_v009,IS-3,Input-Sensitive Inefficiency,hard,1001.1,1001.1,True
IS-3_v010,IS-3,Input-Sensitive Inefficiency,hard,235.6,235.6,True
IS-3_v011,IS-3,Input-Sensitive Inefficiency,hard,252.95,252.95,True
IS-3_v012,IS-3,Input-Sensitive Inefficiency,hard,231.9,231.9,True
IS-3_v013,IS-3,Input-Sensitive Inefficiency,hard,494.35,494.35,True
IS-3_v014,IS-3,Input-Sensitive Inefficiency,hard,492.4,492.4,True
IS-4_v000,IS-4,Input-Sensitive Inefficiency,hard,6.44,6.44,True
IS-4_v001,IS-4,Input-Sensitive Inefficiency,hard,6.4,6.4,True
