variant_id,pattern_id,category,difficulty,metadata_compiler_fixable,slow_ms_O0,fast_ms_O0,speedup_O0,resistant_O0,slow_ms_O2,fast_ms_O2,speedup_O2,resistant_O2,slow_ms_O3,fast_ms_O3,speedup_O3,resistant_O3,slow_ms_O3_fast_math,fast_ms_O3_fast_math,speedup_O3_fast_math,resistant_O3_fast_math,slow_ms_O3_lto,fast_ms_O3_lto,speedup_O3_lto,resistant_O3_lto
COMP_v009,COMP,Composed,hard,False,12.249,7.221,1.7,False,7.818,0.611,12.8,True,6.458,1.027,6.29,True,6.893,0.59,11.68,True,6.45,0.586,11.01,True
COMP_v010,COMP,Composed,hard,False,30.325,9.684,3.13,True,21.168,3.106,6.82,True,22.42,3.152,7.11,True,21.12,3.118,6.77,True,21.008,3.384,6.21,True
COMP_v011,COMP,Composed,hard,False,12.865,1.392,9.24,True,16.691,0.245,68.13,True,15.04,0.198,75.96,True,8.685,0.172,50.49,True,15.148,0.215,70.46,True
COMP_v012,COMP,Composed,hard,False,3.191,0.128,24.93,True,0.764,0.003,254.67,True,0.787,0.003,262.33,True,0.884,0.003,294.67,True,0.753,0.003,251.0,True
COMP_v013,COMP,Composed,hard,False,19.932,0.773,25.79,True,13.077,0.037,353.43,True,13.363,0.036,371.19,True,13.484,0.036,374.56,True,13.938,0.113,123.35,True
COMP_v014,COMP,Composed,hard,False,12.392,6.591,1.88,False,8.063,0.607,13.28,True,6.773,0.605,11.2,True,6.033,0.605,9.97,True,6.17,0.598,10.32,True
COMP_v015,COMP,Composed,hard,False,27.716,8.767,3.16,True,17.225,2.537,6.79,True,12.345,1.479,8.35,True,13.896,1.662,8.36,True,13.748,1.691,8.13,True
COMP_v016,COMP,Composed,hard,False,19.61,0.34,57.68,True,16.038,0.119,134.77,True,13.828,0.118,117.19,True,,,,,14.888,0.131,113.65,True
COMP_v017,COMP,Composed,hard,False,22.373,8.23,2.72,True,14.596,1.69,8.64,True,15.213,1.754,8.67,True,22.376,2.352,9.51,True,13.979,1.76,7.94,True
COMP_v018,COMP,Composed,hard,False,2.01,0.045,44.67,True,0.849,0.006,141.5,True,0.891,0.007,127.29,True,0.841,0.006,140.17,True,0.864,0.007,123.43,True
COMP_v019,COMP,Composed,hard,False,675.626,7.215,93.64,True,600.093,1.441,416.44,True,596.62,1.463,407.81,True,584.391,1.505,388.3,True,596.985,1.452,411.15,True
COMP_v020,COMP,Composed,hard,False,28.242,9.117,3.1,True,14.321,1.81,7.91,True,14.206,1.701,8.35,True,13.857,1.59,8.72,True,15.464,1.749,8.84,True
